Point Type,X,Y,Z
Inlet Point 1,19810.316,159.068,561.425
Inlet Point 2,19810.577,-21.982,561.404
Inlet Point 3,19620.0,212.905,911.794
Inlet Point 4,19720.0,-72.0,998.0
Inlet Point 5,19810.941,-112.524,380.0
Inlet Point 6,19810.939,68.533,380.0
Inlet Point 7,19810.316,159.068,198.576
Inlet Point 8,19810.577,-21.982,198.596
Inlet Point 9,19810.361,-203.033,198.622
Inlet Point 10,19810.316,159.068,-198.576
Inlet Point 11,19810.577,-21.982,-198.596
Inlet Point 12,19810.361,-203.033,-198.622
Inlet Point 13,19810.939,68.533,-380.0
Inlet Point 14,19810.941,-112.524,-380.0
Inlet Point 15,19810.316,159.068,-561.425
Inlet Point 16,19810.577,-21.982,-561.404
Inlet Point 17,19720.0,221.515,-869.691
Inlet Point 18,19720.0,-72.0,-998.0
Bottom Bend Point 1,21543.00537160846,175.68995941611553,583.6505911941621
Bottom Bend Point 2,21784.354065565996,-21.64637284766862,586.4843771331119
Bottom Bend Point 3,21633.890289219584,412.2879354854181,874.9805077639925
Bottom Bend Point 4,21995.651583346033,-135.93702231782603,1037.773160340955
Bottom Bend Point 5,21917.33788551931,-122.43509941276402,380.03028120181045
Bottom Bend Point 6,21681.48962094338,77.63731238423118,379.9640978189044
Bottom Bend Point 7,21745.282774213207,177.80615408842476,173.5865971797689
Bottom Bend Point 8,22106.64866354548,-21.60040032607393,169.46655221056452
Bottom Bend Point 9,22246.046548984355,-225.8239570633118,168.24706124378866
Bottom Bend Point 10,22399.368752726325,184.14017797845338,-165.12409770448235
Bottom Bend Point 11,22888.46404567631,-21.482614124452777,-159.46437411840347
Bottom Bend Point 12,22892.51733813359,-231.8877151671168,-160.08305435378583
Bottom Bend Point 13,22597.79121230096,81.9125003818496,-379.96224358650056
Bottom Bend Point 14,22990.38280603889,21.73216672919305,-379.9786214482859
Bottom Bend Point 15,22491.262302017214,185.0259731415541,-596.0107507106014
Bottom Bend Point 16,22555.64100664899,-21.54859046736139,-596.2276015585136
Bottom Bend Point 17,22532.388698991537,496.4682567749984,-794.7085882607124
Bottom Bend Point 18,22819.078371398016,37.33586703585867,-996.9842775462921
Top Bend Point 1,21759.369134041423,2399.753834235247,2549.78308136074
Top Bend Point 2,22016.25330941551,2199.7416663047024,2549.780513152567
Top Bend Point 3,21701.399374825825,1999.5705199482531,2549.4231694422797
Top Bend Point 4,22208.020188610666,1800.133541434545,2550.065958740712
Top Bend Point 5,22075.13673615899,1599.844952567085,2549.808607165367
Top Bend Point 6,21779.085320196096,1400.0266023275424,2550.0471098743865
Top Bend Point 7,21978.564860260787,1200.1701068570885,2550.410141568474
Top Bend Point 8,22310.650106805333,999.8358605817227,2549.6150394164492
Top Bend Point 9,22392.94483813963,800.1433116304854,2550.3379949451873
Top Bend Point 10,22585.972322991358,599.98221816872,2549.9255223529603
Top Bend Point 11,22903.65999227966,399.98887423187637,2549.9242982082455
Top Bend Point 12,23098.955820016316,199.9852422147961,2549.9070292506844
Top Bend Point 13,22841.55710115465,0.0063146116148573225,2549.8223291308796
Top Bend Point 14,23255.535741501604,-200.02247027756135,2550.2636467066754
Top Bend Point 15,22777.18995297247,-400.0116688087746,2550.065206852161
Top Bend Point 16,22823.16753627759,-599.9850135594061,2549.911230171588
Top Bend Point 17,22728.035807969125,-799.9478258167538,2549.9326558801495
Top Bend Point 18,23154.066596661174,-1000.0568314714217,2550.2004330766517
Outlet Point 1,27450.0,2400.0,2550.0
Outlet Point 2,27450.0,2200.0,2550.0
Outlet Point 3,27450.0,2000.0,2550.0
Outlet Point 4,27450.0,1800.0,2550.0
Outlet Point 5,27450.0,1600.0,2550.0
Outlet Point 6,27450.0,1400.0,2550.0
Outlet Point 7,27450.0,1200.0,2550.0
Outlet Point 8,27450.0,1000.0,2550.0
Outlet Point 9,27450.0,800.0,2550.0
Outlet Point 10,27450.0,600.0,2550.0
Outlet Point 11,27450.0,400.0,2550.0
Outlet Point 12,27450.0,200.0,2550.0
Outlet Point 13,27450.0,0.0,2550.0
Outlet Point 14,27450.0,-200.0,2550.0
Outlet Point 15,27450.0,-400.0,2550.0
Outlet Point 16,27450.0,-600.0,2550.0
Outlet Point 17,27450.0,-800.0,2550.0
Outlet Point 18,27450.0,-1000.0,2550.0
